image,type,subtype,concatenated_type,set
100127200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100044800.png,Rost,Strassenrost,Rost / Strassenrost,train
100009300.png,Rost,Strassenrost,Rost / Strassenrost,val
100079800.png,Rost,Strassenrost,Rost / Strassenrost,train
100130900.png,Rost,Strassenrost,Rost / Strassenrost,train
100147200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100077200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100086500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100024400.png,Rost,Strassenrost,Rost / Strassenrost,val
100212200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100035100.png,Andere,-,Andere / -,train
100061800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100196500.png,Rost,Strassenrost,Rost / Strassenrost,train
100148900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100096800.png,Rost,Strassenrost,Rost / Strassenrost,train
100212000.png,Rost,Strassenrost,Rost / Strassenrost,train
100081800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100185400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100171800.png,Rost,Strassenrost,Rost / Strassenrost,train
100093500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100063800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100165800.png,Andere,-,Andere / -,train
100147500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100055600.png,Rost,Strassenrost,Rost / Strassenrost,train
100101800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100133000.png,Rost,Strassenrost,Rost / Strassenrost,test
100047600.png,Rost,Strassenrost,Rost / Strassenrost,train
100208700.png,Rost,Strassenrost,Rost / Strassenrost,val
100037800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100136000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100173900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100021500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100083100.png,Rost,Strassenrost,Rost / Strassenrost,train
100193000.png,Rost,Strassenrost,Rost / Strassenrost,train
100022400.png,Rost,Strassenrost,Rost / Strassenrost,val
100120600.png,Rost,Strassenrost,Rost / Strassenrost,train
100194000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100005800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100105200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100048600.png,Andere,-,Andere / -,train
100065400.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100042300.png,Andere,-,Andere / -,train
100147900.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100145200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100082300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100108900.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100209200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100191400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100193700.png,Rost,Strassenrost,Rost / Strassenrost,train
100204400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100153100.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100132700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100199600.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,test
100104900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100210800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100082100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100117400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100168200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100183700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100035400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100096400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100204100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100170000.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100038000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100043700.png,Andere,-,Andere / -,test
100189000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100129600.png,Rost,Strassenrost,Rost / Strassenrost,val
100048100.png,Rost,Strassenrost,Rost / Strassenrost,train
100029300.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100108700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100169000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100078400.png,Rost,Strassenrost,Rost / Strassenrost,test
100202900.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100190900.png,Andere,-,Andere / -,train
100200900.png,Rost,Strassenrost,Rost / Strassenrost,train
100075400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100164100.png,Rost,Strassenrost,Rost / Strassenrost,train
100085100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100003400.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100090800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100200600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100178200.png,Rost,Strassenrost,Rost / Strassenrost,train
100040700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100106300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100020500.png,Rost,Strassenrost,Rost / Strassenrost,train
100193500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100123300.png,Rost,Strassenrost,Rost / Strassenrost,train
100018300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100146300.png,Rost,Strassenrost,Rost / Strassenrost,train
100049900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100019200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100190200.png,Rost,Strassenrost,Rost / Strassenrost,val
100037000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100131500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100056000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100182100.png,Rost,Strassenrost,Rost / Strassenrost,test
100153600.png,Rost,Strassenrost,Rost / Strassenrost,train
100006500.png,Rost,Strassenrost,Rost / Strassenrost,train
100172900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100210500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100011800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100103300.png,Rost,Strassenrost,Rost / Strassenrost,test
100190800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100121300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100138500.png,Rost,Strassenrost,Rost / Strassenrost,train
100012600.png,Rost,Strassenrost,Rost / Strassenrost,train
100014400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100001500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100104700.png,Andere,-,Andere / -,train
100192400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100140500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100148600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100024600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100095400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100089500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100158200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100102900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100017200.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,test
100123400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100010100.png,Rost,Strassenrost,Rost / Strassenrost,test
